sep=|
02:30 horas (UTC-6)
lunes 7 de diciembre de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
445|0|100.0000|441|4|37.6669

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PVEM|PT|NUEVA_ALIANZA|MORENA|PARTIDO_HUMANISTA|ENCUENTRO_SOCIAL|PAN_PANAL|PRI_PVEM|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
1|AGUASCALIENTES|1|JESUS MARIA|343|2|C|0|2|2|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|1|Ilegible|Ilegible|3|7|Sin dato|Ilegible|11|675| |1| |4200610b0dcb4d7cc61397c434976be130f55bae497d4301a1278814f71b2e9b|2015-12-06 22:18:00.000|2015-12-07 01:03:55.459|2015-12-07 01:03:56.980|
1|AGUASCALIENTES|1|JESUS MARIA|343|3|C|0|2|2|Ilegible|396|396|149|120|2|18|86|4|1|2|5|3|0|6|396|674| |1| |9bbe8b422b8a881f2358696db0520f90755f9a05f65981cd187ff0c76c95cb3e|2015-12-06 22:22:00.000|2015-12-06 22:34:01.955|2015-12-06 22:34:04.919|
1|AGUASCALIENTES|1|JESUS MARIA|344|1|B|0|2|2|305|302|302|42|109|7|34|84|4|5|2|1|5|0|9|302|587| |1| |31d9513aa6024c85ea6893630259b90a4659764ab7ae485cdb469085dc878657|2015-12-06 22:21:00.000|2015-12-06 22:45:14.083|2015-12-06 22:45:17.132|
1|AGUASCALIENTES|1|JESUS MARIA|344|1|C|0|2|2|313|294|294|35|118|4|19|90|5|4|4|2|5|0|8|294|587| |1| |f3ea859da7c2f3b8be931f435ea3e3829903100a31bf4b6c0aa183e963b8c94b|2015-12-06 22:20:00.000|2015-12-06 22:43:43.564|2015-12-06 22:43:46.468|
1|AGUASCALIENTES|1|JESUS MARIA|344|2|C|0|2|2|266|339|339|29|114|10|21|130|4|12|4|2|4|0|9|339|586| |1| |eb465b32816d67731bc0d76840640dd2ab351f3c426cb5d094c8328a0971e19a|2015-12-06 22:18:00.000|2015-12-06 22:39:14.837|2015-12-06 22:39:16.752|
1|AGUASCALIENTES|1|JESUS MARIA|344|3|C|0|2|2|298|308|308|70|113|5|21|77|3|7|2|4|1|0|5|308|586| |1| |cc73813bf8d24f7228de4307cbfa0db24d2466f833505d328df8a048d3201806|2015-12-06 22:20:00.000|2015-12-06 22:45:45.274|2015-12-06 22:45:48.596|
1|AGUASCALIENTES|1|JESUS MARIA|345|1|B|0|2|2|404|303|303|46|119|11|19|99|0|1|0|0|1|1|6|303|687| |1| |fd1b546feca1dc033e02760d7b1e1ac3ae39b2f19c6059251bf4edaa2ea847ca|2015-12-06 22:06:00.000|2015-12-06 22:12:00.203|2015-12-06 22:12:03.308|
1|AGUASCALIENTES|1|JESUS MARIA|345|1|C|0|2|2|393|312|312|40|132|10|23|87|1|3|0|5|3|0|9|313|686| |1| |a6ca2375610288dde33119bf80c567ad9480397845f578c3916b16fe25955df4|2015-12-06 22:06:00.000|2015-12-06 22:32:54.156|2015-12-06 22:32:57.989|
1|AGUASCALIENTES|1|JESUS MARIA|345|2|C|0|2|2|386|320|320|35|131|11|20|99|3|0|3|3|4|0|11|320|686| |1| |371ffabf325bbbd8ac4aaadc17b0b6fa30fcddb7764d300a7e24bad0db29bc38|2015-12-06 22:09:00.000|2015-12-06 22:37:51.387|2015-12-06 22:37:53.208|
1|AGUASCALIENTES|1|JESUS MARIA|346|1|B|0|2|2|322|273|275|36|101|2|11|97|2|0|7|7|1|0|11|275|577| |1| |10e65c3acdbd2469ba7c73af2c7d0153de96c42aa6523c2c37fc65e7ca3f36e0|2015-12-06 22:19:00.000|2015-12-06 22:40:04.055|2015-12-06 22:40:07.393|
1|AGUASCALIENTES|1|JESUS MARIA|346|1|C|0|2|2|272|320|323|59|107|4|13|97|2|5|4|10|7|0|13|321|576| |1| |b952f925a387873559d1e73a39568726f1066c1a5207afe6d4d25a3bdfdb68af|2015-12-06 22:16:00.000|2015-12-06 22:36:04.540|2015-12-06 22:36:06.184|
1|AGUASCALIENTES|1|JESUS MARIA|346|2|C|0|2|2|382|312|314|75|89|2|22|92|4|2|7|4|2|0|15|314|576| |1| |336c28316163252d4394a1851a1d79e35653a366644bcdf1fabb16e29de95f0d|2015-12-06 22:24:00.000|2015-12-06 22:47:55.855|2015-12-06 22:47:59.171|
1|AGUASCALIENTES|1|JESUS MARIA|347|1|B|0|2|2|283|315|315|96|53|5|9|127|3|Sin dato|Sin dato|9|3|0|10|315|578| |1| |102395de786da5c5794c98a36337545262ce36a0f667ea6be7d81bc555885985|2015-12-06 22:20:00.000|2015-12-06 22:43:06.006|2015-12-06 22:43:07.374|
1|AGUASCALIENTES|1|JESUS MARIA|347|1|C|0|2|2|277|318|321|93|63|0|15|125|2|1|0|8|3|0|11|321|578| |1| |8d9ecb9b7974a83d4fcc59e9c59723da36f2a137b69eb3609c72c908a63f69b5|2015-12-06 22:19:00.000|2015-12-06 22:42:43.308|2015-12-06 22:42:45.815|
1|AGUASCALIENTES|1|JESUS MARIA|347|2|C|0|2|2|277|321|321|66|59|5|12|154|1|0|0|8|1|1|14|321|578| |1| |546a5fab659cbd592c6bedd9b90cd50f439b914bb13f5ee42f36cad9f3727a2c|2015-12-06 22:17:00.000|2015-12-06 22:39:03.997|2015-12-06 22:39:07.252|
1|AGUASCALIENTES|1|JESUS MARIA|347|3|C|0|2|2|Sin dato|Sin dato|Sin dato|108|58|5|13|138|2|1|0|6|5|0|9|345|577| |1| |50791e043385d54cdc03c94999baf9f2aadd6744deda4aedefab8d439f7b8957|2015-12-06 22:23:00.000|2015-12-06 22:47:47.880|2015-12-06 22:47:49.184|
1|AGUASCALIENTES|1|JESUS MARIA|348|1|B|0|2|2|418|346|346|70|90|3|28|113|3|7|3|13|6|0|10|346|744| |1| |28a602ce15c203601c072212d8daa6d1ea30dd02d975054afc5df5195054c836|2015-12-06 22:19:00.000|2015-12-06 22:41:55.191|2015-12-06 22:41:56.734|
1|AGUASCALIENTES|1|JESUS MARIA|348|1|C|0|2|2|410|351|354|70|105|3|30|112|6|5|5|7|2|0|9|354|744| |1| |ea32cd6650ab247194145d627b63150a0450cb2ba51fc050625e9a872a478f07|2015-12-06 22:17:00.000|2015-12-06 22:40:28.705|2015-12-06 22:40:30.468|
1|AGUASCALIENTES|1|JESUS MARIA|349|1|B|0|2|2|467|288|290|70|102|3|19|68|8|8|2|2|4|0|4|290|737| |1| |1586d56e48227b6d6fbc76f8b064fc782e0820c1f7db4bde7f153aa477ec75c3|2015-12-06 22:22:00.000|2015-12-06 22:35:04.842|2015-12-06 22:35:06.243|
1|AGUASCALIENTES|1|JESUS MARIA|349|1|C|0|2|2|498|257|259|41|80|3|25|85|4|7|1|5|2|0|6|259|737| |1| |bd7ca5bacfcac7ec8e6bc27cf878dce9c8227c8c15eaef8db1001f0fcc3a0aff|2015-12-06 22:18:00.000|2015-12-06 22:37:13.021|2015-12-06 22:37:15.943|
1|AGUASCALIENTES|1|JESUS MARIA|349|2|C|0|2|2|452|298|305|44|146|1|19|68|4|6|0|9|2|0|6|305|736| |1| |527d9ad800875e8eae4ba45c44f8dd7d7970e1e94c022b4132240f7beaf1055a|2015-12-06 22:23:00.000|2015-12-06 22:46:50.610|2015-12-06 22:46:52.599|
1|AGUASCALIENTES|1|JESUS MARIA|350|1|B|0|2|2|369|240|240|55|78|4|8|79|1|2|0|6|1|Sin dato|0|234|589| |1| |f87c16cf9a0409bfd81ee3548ae3091c1768ecf1a3ff08bd6ada36e53a5ed9f5|2015-12-06 22:21:00.000|2015-12-06 22:44:50.903|2015-12-06 22:44:52.752|
1|AGUASCALIENTES|1|JESUS MARIA|350|1|C|0|2|2|352|255|256|57|69|4|26|80|2|8|1|1|2|0|6|256|589| |1| |238506b861a9f3a1b6e7792ae96d43930b837bf0cac3e1609eafdf455a82abc0|2015-12-06 22:21:00.000|2015-12-06 22:44:09.730|2015-12-06 22:44:11.514|
1|AGUASCALIENTES|1|JESUS MARIA|350|2|C|0|2|2|Sin dato|Sin dato|Sin dato|77|56|5|22|81|0|4|2|4|2|Sin dato|8|261|589| |1| |597be94d50a05afd25bdad263d07aae8f34a08a008fb082fd144ada50aff1080|2015-12-06 22:16:00.000|2015-12-06 22:23:05.395|2015-12-06 22:23:08.108|
1|AGUASCALIENTES|1|JESUS MARIA|350|3|C|0|2|2|373|234|235|62|67|7|6|75|1|3|4|2|1|Sin dato|7|235|588| |1| |6c2664d67b982440790952e5363b52f64b74a1afbb3ce8f5a4ea1f53b2d80402|2015-12-06 22:22:00.000|2015-12-06 22:46:39.848|2015-12-06 22:46:41.940|
1|AGUASCALIENTES|1|JESUS MARIA|351|1|B|0|2|2|368|322|322|37|84|12|28|140|3|2|1|4|4|Sin dato|7|322|670| |1| |046f6aefdd2735907d8ef4da34f59a4f4ad4a7bced63536a00761a3a2b7dc058|2015-12-06 22:22:00.000|2015-12-06 22:45:02.620|2015-12-06 22:45:04.379|
1|AGUASCALIENTES|1|JESUS MARIA|351|1|C|0|2|2|373|315|315|36|79|7|30|137|3|1|1|9|5|1|8|317|669| |1| |95f61ea53647ec4a8225422db33cf6cd865da1c31de78924af5e53d9833b7685|2015-12-06 22:23:00.000|2015-12-06 22:46:37.237|2015-12-06 22:46:40.296|
1|AGUASCALIENTES|1|JESUS MARIA|352|1|B|0|2|2|397|345|345|81|80|9|34|107|0|18|Sin dato|9|2|0|5|345|722| |1| |ca14538332be29271767621006e4530f585708cb153d4e6edfe83751f8de82a3|2015-12-06 23:03:00.000|2015-12-06 23:39:16.056|2015-12-06 23:39:18.838|
1|AGUASCALIENTES|1|JESUS MARIA|352|1|C|0|2|2|443|298|298|60|71|5|28|116|1|7|0|5|0|0|5|298|721| |1| |5a46c089e0ccee648ef40591b6966691ab5c81401a0bd8401ebb3ac11e74d7e3|2015-12-06 23:00:00.000|2015-12-06 23:39:20.284|2015-12-06 23:39:22.928|
1|AGUASCALIENTES|1|JESUS MARIA|352|2|C|0|2|2|430|311|311|31|94|9|47|98|2|12|1|4|2|Sin dato|12|312|721| |1| |583846947759a6079bd0f0ddf8884ed836b6af397bc0d28410ef430cf3b54d28|2015-12-06 23:00:00.000|2015-12-06 23:36:56.441|2015-12-06 23:36:59.377|
1|AGUASCALIENTES|1|JESUS MARIA|353|1|B|0|2|2|327|383|383|36|75|6|14|228|0|7|0|5|2|0|10|383|690| |1| |205212efc421e558e2f8c144a8a88c6456fb0c440688a435fa41657ad78717d2|2015-12-06 23:03:00.000|2015-12-06 23:40:13.515|2015-12-06 23:40:15.265|
1|AGUASCALIENTES|1|JESUS MARIA|353|1|C|0|2|2|326|383|383|45|116|7|20|157|5|3|0|3|3|0|24|383|689| |1| |951400b460ae55773ca82d1244e7b0515d957617ddea2a81526fade1f236635b|2015-12-06 23:00:00.000|2015-12-06 23:38:04.284|2015-12-06 23:38:06.158|
1|AGUASCALIENTES|1|JESUS MARIA|354|1|B|0|2|2|344|334|334|28|130|7|35|114|4|3|1|2|2|0|8|334|658| |1| |834028e49e8c32cc16dcbea08874f401cc8da46864779588becb638284a9fa37|2015-12-06 23:02:00.000|2015-12-06 23:41:43.278|2015-12-06 23:41:45.226|
1|AGUASCALIENTES|1|JESUS MARIA|354|1|C|0|2|2|328|350|349|46|121|15|35|113|6|1|1|2|2|0|7|349|658| |1| |d465cd2799991f802280c06045ad8cc1d9936ab7894fa7e2b0807f9beb290302|2015-12-06 23:03:00.000|2015-12-06 23:42:18.607|2015-12-06 23:42:21.396|
1|AGUASCALIENTES|1|JESUS MARIA|355|1|B|0|2|2|473|231|240|121|49|5|34|14|4|3|1|1|1|0|7|240|693| |1| |53fbdd2835e433e15173cc87de11b199d8b119013ff43668f8866afb05f0a9ca|2015-12-06 23:15:00.000|2015-12-07 00:43:28.869|2015-12-07 00:43:31.561|
1|AGUASCALIENTES|1|JESUS MARIA|355|1|C|0|2|2|Ilegible|Ilegible|Ilegible|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Ilegible|Ilegible|Sin dato|Sin dato|Sin dato|Sin dato|0|693| |1| |21a8123b8aa1b7dc7ba44a62b8a0435310ae54bc80f270b6d2a04da37325aedb|2015-12-07 01:50:00.000|2015-12-07 02:12:17.298|2015-12-07 02:12:20.042|
1|AGUASCALIENTES|1|JESUS MARIA|356|1|B|0|1|2|410|225|233|99|73|5|30|6|2|1|2|1|3|0|11|233|623| |1| |7c3f2d95e92b24b3b24ff5d029e1fe365b98fbcff32cef0fec04f315d8970f2a|2015-12-06 23:10:00.000|2015-12-07 02:17:28.473|2015-12-07 02:17:31.258|
1|AGUASCALIENTES|1|JESUS MARIA|356|1|C|0|1|2|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|0|623| |1| |4c1688ea0db86ef6a3a4e6b65f8498c0ef9a49556635cffecec24565a42073c6|2015-12-06 23:14:00.000|2015-12-07 00:17:25.752|2015-12-07 00:17:28.454|
1|AGUASCALIENTES|1|JESUS MARIA|356|2|C|0|1|2|429|202|214|78|82|3|23|12|2|1|1|2|1|0|9|214|623| |1| |a26082b785ba4eb71289206b797b22a03ece0fa605a2576561763b54e5a58fa5|2015-12-06 23:20:00.000|2015-12-07 00:44:31.140|2015-12-07 00:44:34.167|
