sep=|
02:30 horas (UTC-6)
lunes 7 de diciembre de 2015
ACTAS_CAPTURADAS|ACTAS_POR_CAPTURAR|PORCENTAJE_ACTAS_CAPTURADAS|ACTAS_CONTABILIZADAS|ACTAS_NO_CONTABILIZADAS|PARTICIPACION_CIUDADANA
445|0|100.0000|441|4|37.6669

ID_ESTADO|ESTADO|ID_DISTRITO|DISTRITO|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|NUM_BOLETAS_SOBRANTES|TOTAL_CIUDADANOS_VOTARON|NUM_BOLETAS_EXTRAIDAS|PAN|PRI|PVEM|PT|NUEVA_ALIANZA|MORENA|PARTIDO_HUMANISTA|ENCUENTRO_SOCIAL|PAN_PANAL|PRI_PVEM|NO_REGISTRADOS|NULOS|TOTAL_VOTOS|LISTA_NOMINAL|OBSERVACIONES|CONTABILIZADA|CRYT|SHA|HORA_ACOPIO|HORA_CAPTURA|HORA_REGISTRO
1|AGUASCALIENTES|1|JESUS MARIA|360|1|B|0|1|2|511|254|259|111|92|7|15|13|2|2|2|1|2|0|12|259|750| |1| |6863da847530a9da7e74c790939e2a605ed9d0b721e5512ccf961d2f83fb2de0|2015-12-06 23:17:00.000|2015-12-07 00:23:10.972|2015-12-07 00:23:14.120|
1|AGUASCALIENTES|1|JESUS MARIA|361|1|B|0|1|2|358|229|239|117|72|4|20|12|2|0|1|0|1|1|9|239|577| |1| |f41586e3e7b32f16c2a68afbfd3c263e4746d115a1514b50b79e14cf911eaa86|2015-12-06 23:09:00.000|2015-12-07 00:26:15.918|2015-12-07 00:26:18.617|
1|AGUASCALIENTES|1|JESUS MARIA|361|1|C|0|1|2|262|223|233|80|92|4|25|12|7|2|2|1|3|0|5|233|576| |1| |0563c9c274c1c85cd5b2eebf2a4ef64312c51cbb2883b7962bd9f74a7813e0d9|2015-12-06 23:10:00.000|2015-12-07 00:28:16.092|2015-12-07 00:28:18.798|
1|AGUASCALIENTES|1|JESUS MARIA|361|2|C|0|1|2|375|217|221|108|68|5|17|8|3|2|0|0|2|0|8|221|576| |1| |0e005b57a18089bbae267614b236dc5f5a0f4ac8ae11cc8ae63bbae4028ed63d|2015-12-06 23:15:00.000|2015-12-07 00:32:06.737|2015-12-07 00:32:09.941|
1|AGUASCALIENTES|1|JESUS MARIA|362|1|B|0|1|2|469|244|250|107|63|3|39|17|3|2|0|0|4|0|12|250|699| |1| |6be4ee67a5811ff554c93c039207e41ddaffe25ab405a0f1f6dad284002f40e9|2015-12-06 23:10:00.000|2015-12-07 00:28:14.407|2015-12-07 00:28:17.321|
1|AGUASCALIENTES|1|JESUS MARIA|362|1|C|0|1|2|469|246|249|129|46|6|29|16|4|2|4|2|1|0|10|249|699| |1| |f1bc287229041b5466d7c2d6d9f2d8a998827c356999654f945762684c9794c6|2015-12-06 23:09:00.000|2015-12-07 00:19:35.737|2015-12-07 00:19:38.851|
1|AGUASCALIENTES|1|JESUS MARIA|362|2|C|0|1|2|421|294|297|160|69|9|23|9|1|4|4|1|9|0|8|297|698| |1| |1a6a6b77dc965cc75fb6762c43c1e43bd3e20197a4817533cce92d6a637cd27c|2015-12-06 23:17:00.000|2015-12-06 23:53:14.806|2015-12-06 23:53:17.570|
1|AGUASCALIENTES|1|JESUS MARIA|362|1|S|0|1|3|717|53|53|21|15|2|6|4|1|1|1|0|0|2|0|53|0| |1| |689d226d7def6352330a384e2dedbce857ccbe44b52c278a4434c72ea7444ffb|2015-12-06 23:18:00.000|2015-12-07 00:36:05.692|2015-12-07 00:36:08.360|
1|AGUASCALIENTES|1|JESUS MARIA|363|1|B|0|1|2|363|256|266|86|94|9|43|14|3|5|1|2|1|0|8|266|610| |1| |c0ceae0112607b7abaf7ed3706052096ebe569c6ef4799bc59f1e81fa7bea5b0|2015-12-06 23:10:00.000|2015-12-07 02:16:18.864|2015-12-07 02:16:20.196|
1|AGUASCALIENTES|1|JESUS MARIA|363|1|C|0|1|2|397|229|232|89|59|6|34|10|7|4|1|Sin dato|2|Sin dato|20|232|609| |1| |60cd33b21f9cb41534b17736e275162cf1bdfe9f1138869b77658cafa3387a31|2015-12-06 23:16:00.000|2015-12-07 00:31:46.657|2015-12-07 00:31:48.773|
1|AGUASCALIENTES|1|JESUS MARIA|363|2|C|0|1|2|378|243|250|89|93|6|27|13|3|5|2|1|4|0|7|250|609| |1| |0dc28585bf479ed2d3326e467bfb7a61de1cef89c13fe635e351f468c176014e|2015-12-06 23:08:00.000|2015-12-07 00:23:57.747|2015-12-07 00:24:00.673|
1|AGUASCALIENTES|1|JESUS MARIA|364|1|B|0|2|2|400|240|249|102|50|6|59|11|6|2|2|7|0|0|4|249|629| |1| |bb53dbdb1779e700860b4c2b3a8716ffa32be5411733c4c043821f7e8a55e6bf|2015-12-06 22:13:00.000|2015-12-06 22:25:32.675|2015-12-06 22:25:35.636|
1|AGUASCALIENTES|1|JESUS MARIA|365|1|B|0|2|2|219|160|162|82|28|8|29|5|0|2|0|0|1|0|7|162|361| |1| |1ba292a5846631ca960b62e8c8c34c113c224fb302ae07c08e143cf79d8fd0b9|2015-12-06 22:13:00.000|2015-12-06 22:21:00.259|2015-12-06 22:21:01.971|
1|AGUASCALIENTES|1|JESUS MARIA|366|1|B|0|2|2|426|225|231|73|98|8|17|25|0|3|0|0|2|0|5|231|637| |1| |43d3d6a2f671e4e41301749538bbbe8e0752a3099c7e918af71597b79028d857|2015-12-06 22:13:00.000|2015-12-06 22:21:20.593|2015-12-06 22:21:23.847|
1|AGUASCALIENTES|1|JESUS MARIA|367|1|B|0|2|2|341|232|233|64|81|14|29|18|4|2|5|0|5|0|11|233|554| |1| |eae494a6be5543018cde95fe9eee513dbad4ec64573c93d716cfd12a03c5b1ee|2015-12-06 22:12:00.000|2015-12-06 22:20:47.789|2015-12-06 22:20:50.193|
1|AGUASCALIENTES|1|JESUS MARIA|367|1|C|0|2|2|334|240|240|63|82|19|41|18|3|1|1|0|4|0|8|240|554| |1| |7082a035dd66978713f433bac5822bb52388f4979920f28a1ff6d954949f9ebc|2015-12-06 22:14:00.000|2015-12-06 22:24:11.557|2015-12-06 22:24:14.340|
1|AGUASCALIENTES|1|JESUS MARIA|367|2|C|0|2|2|324|242|244|80|84|10|33|15|8|1|3|1|1|0|8|244|553| |1| |e987b0bfc8e1238385de1b93579f3fa86f7ee716483c06ce2fa91edb6869a90c|2015-12-06 22:13:00.000|2015-12-06 22:22:01.709|2015-12-06 22:22:05.068|
1|AGUASCALIENTES|1|JESUS MARIA|369|1|B|0|2|2|253|175|178|72|41|23|25|3|2|1|0|2|2|0|7|178|411| |1| |8a18b0dc58ad914eba8cef43af641f1c6f1a9f64324caf4f8423ba6b9c9d329f|2015-12-06 22:12:00.000|2015-12-06 22:26:29.511|2015-12-06 22:26:32.303|
1|AGUASCALIENTES|1|JESUS MARIA|370|1|B|0|2|2|410|268|268|92|63|25|61|7|4|2|0|2|0|2|10|268|658| |1| |41585ff7dfb7df34d04c85b6cdb178dc54b842d9395e24dd6ec02a8b32141349|2015-12-06 22:13:00.000|2015-12-06 22:22:00.909|2015-12-06 22:22:03.613|
1|AGUASCALIENTES|1|JESUS MARIA|370|1|C|0|2|2|395|281|282|89|65|42|62|6|4|0|1|0|2|0|11|282|657| |1| |b92ba0612bbae48d4e48610fb29a3ee2045622ef29fd1536a50c47ca448de50b|2015-12-06 22:11:00.000|2015-12-06 22:25:55.722|2015-12-06 22:25:59.370|
1|AGUASCALIENTES|1|JESUS MARIA|371|1|B|0|2|2|356|156|162|90|36|4|15|7|2|0|1|1|1|0|5|162|498| |1| |1f80105a5a1cf6ea07d641ba1836752eadcc37478b5d537a19aafcd9a202eff1|2015-12-06 21:40:00.000|2015-12-06 21:44:39.360|2015-12-06 21:44:42.542|
1|AGUASCALIENTES|1|JESUS MARIA|371|1|C|0|2|2|324|184|193|119|33|3|18|6|3|1|0|1|1|0|8|193|497| |1| |14605ec2828cefdc00b702ce88dcf3ef226ae9e03b99b0fcde0b5e6aec2b499d|2015-12-06 21:43:00.000|2015-12-06 21:49:15.721|2015-12-06 21:49:19.022|
1|AGUASCALIENTES|1|JESUS MARIA|372|1|B|0|2|2|316|198|202|129|31|4|17|8|2|1|4|1|0|0|5|202|498| |1| |30f8c6a9dfcb893e43e8b16b29f0477f1fe02f4a2115952544a61f41031aac19|2015-12-06 21:41:00.000|2015-12-06 21:45:35.461|2015-12-06 21:45:38.682|
1|AGUASCALIENTES|1|JESUS MARIA|372|1|C|0|2|2|312|201|206|120|46|4|17|3|5|1|2|1|1|0|0|200|498| |1| |3119144407d4c32aaafbffa3ffb39022251b848567b7820d49ffd60cbe9ab39a|2015-12-06 21:43:00.000|2015-12-06 21:49:15.304|2015-12-06 21:49:16.769|
1|AGUASCALIENTES|1|JESUS MARIA|373|1|B|0|2|2|409|221|221|55|63|6|70|10|0|0|4|0|3|0|10|221|610| |1| |76b8ad90f86deaf65bff85d9443da8a816402ca2ab9c14b26f957cd43febc4f3|2015-12-06 21:36:00.000|2015-12-06 21:39:32.706|2015-12-06 21:39:34.937|
1|AGUASCALIENTES|1|JESUS MARIA|373|1|C|0|2|2|307|242|246|76|69|9|64|10|2|2|2|0|5|0|7|246|533| |1| |ba2bf7eebcc07656a826b5883549ed3daea600f5ac8c16837e40536941da333e|2015-12-06 21:41:00.000|2015-12-06 21:45:09.151|2015-12-06 21:45:12.430|
1|AGUASCALIENTES|1|JESUS MARIA|374|1|B|0|2|2|327|209|212|58|71|12|46|6|3|0|2|2|3|0|9|212|519| |1| |681ac06fb3e4d71bc8397410858ca402eb6904d5ad9f81aa5f2813b97925d841|2015-12-06 21:42:00.000|2015-12-06 21:46:31.221|2015-12-06 21:46:33.527|
1|AGUASCALIENTES|1|JESUS MARIA|374|1|C|0|2|2|369|166|170|51|43|7|47|4|1|2|3|0|2|0|10|170|519| |1| |3282b9906af28341034944a01ee2f5ca9545a7923ef7aef7516182d496b24e98|2015-12-06 21:37:00.000|2015-12-06 21:40:32.142|2015-12-06 21:40:33.732|
1|AGUASCALIENTES|1|JESUS MARIA|375|1|B|0|2|2|411|195|200|84|44|7|44|4|4|0|2|0|1|0|10|200|591| |1| |cf8e23dfea757347e1145861a9558a8a10e3e04b66fdb3c1ed9241a60fba83a1|2015-12-06 21:38:00.000|2015-12-06 21:42:00.346|2015-12-06 21:42:02.122|
1|AGUASCALIENTES|1|JESUS MARIA|375|1|C|0|2|2|426|179|185|81|39|8|30|11|5|1|1|1|0|0|8|185|591| |1| |acee0dfae3a5a618ae7d008de282684da93c7c0b8c4cb9531f2341df8cc7c99b|2015-12-06 21:41:00.000|2015-12-06 21:46:43.926|2015-12-06 21:46:47.070|
1|AGUASCALIENTES|1|JESUS MARIA|375|2|C|0|2|2|414|193|196|82|39|10|39|9|6|2|2|0|1|1|5|196|590| |1| |8024a024e21a4dbd25e672f4d3f56b28ce189ecfc8b566434f86866bde6fab37|2015-12-06 21:42:00.000|2015-12-06 21:47:17.793|2015-12-06 21:47:20.001|
1|AGUASCALIENTES|1|JESUS MARIA|376|1|B|0|2|2|452|230|231|97|49|6|48|6|5|1|2|0|2|0|15|231|663| |1| |9ea5565df4aeac5998f10152ea0dc95560722fc207e730a7a522d7493ad8cb48|2015-12-06 21:40:00.000|2015-12-06 21:44:45.410|2015-12-06 21:44:48.630|
1|AGUASCALIENTES|1|JESUS MARIA|376|1|C|0|2|2|480|202|203|102|39|11|32|3|0|1|0|3|0|0|12|203|663| |1| |ab4dd5d2d9ccc26e920d7732a8a654b833d8accc9fc167b5d669051934ff1d33|2015-12-06 21:42:00.000|2015-12-06 21:47:31.085|2015-12-06 21:47:33.223|
1|AGUASCALIENTES|1|JESUS MARIA|376|2|C|0|2|2|418|260|264|119|58|9|40|16|3|0|3|1|1|0|14|264|662| |1| |944dcfe0cf93e5bd952392acb7ed164a772e3fe32d82ffd134fe33cc4efc107e|2015-12-06 21:42:00.000|2015-12-06 21:48:18.336|2015-12-06 21:48:21.364|
1|AGUASCALIENTES|1|JESUS MARIA|377|1|B|0|2|2|492|232|235|118|71|6|12|5|5|3|1|0|1|0|13|235|707| |1| |26ba37ec00a6ee42cbdefdbc83d4c013358ccbb98d8f4fc1ccd2c5231df719af|2015-12-06 21:38:00.000|2015-12-06 21:41:05.668|2015-12-06 21:41:07.945|
1|AGUASCALIENTES|1|JESUS MARIA|377|1|C|0|2|2|449|274|278|139|83|8|10|11|6|2|3|0|2|0|14|278|707| |1| |a30bd96aad421bf0556395e341001a40f866daed1e9c2f4ae66aa7c7d4dba657|2015-12-06 21:39:00.000|2015-12-06 21:42:32.084|2015-12-06 21:42:33.615|
1|AGUASCALIENTES|1|JESUS MARIA|378|1|B|0|2|2|227|143|145|38|44|16|29|9|0|1|1|0|3|0|4|145|352| |1| |b87efb074205873f0e4cb3000f74f9bd70102a85f778cb04827228794758d904|2015-12-06 21:41:00.000|2015-12-06 21:45:34.298|2015-12-06 21:45:36.040|
1|AGUASCALIENTES|1|JESUS MARIA|379|1|B|0|2|2|486|258|261|137|58|5|27|17|3|0|3|1|1|0|9|261|727| |1| |f5a92cbf411c56fbe28700cb57caf2ed3733961169783c718687612f53b7ea70|2015-12-06 21:43:00.000|2015-12-06 21:50:02.703|2015-12-06 21:50:04.559|
1|AGUASCALIENTES|1|JESUS MARIA|379|1|C|0|2|2|469|276|277|154|44|12|31|10|2|1|2|4|3|0|14|277|726| |1| |74bab274cd7c001af8d676680584349c0b0aa7a1b944c93c72b855c220a6f296|2015-12-06 21:39:00.000|2015-12-06 21:43:35.298|2015-12-06 21:43:36.873|
1|AGUASCALIENTES|1|JESUS MARIA|380|1|B|0|2|2|423|Ilegible|208|90|27|18|36|9|4|4|2|3|2|0|13|208|611| |1| |9794b7a57ff8038266f5a4b5dee3144f38a4cc5e41c63e6ef5c680e8d2d4cedc|2015-12-06 21:40:00.000|2015-12-06 21:43:48.788|2015-12-06 21:43:52.412|
1|AGUASCALIENTES|1|JESUS MARIA|380|1|C|0|2|2|417|214|214|110|24|19|44|6|3|1|1|0|1|0|5|214|611| |1| |b657c92af734d17efb9094e9171268ea15b9b436d24f529e2bb0762dc10994ee|2015-12-06 21:42:00.000|2015-12-06 21:48:23.867|2015-12-06 21:48:25.618|
1|AGUASCALIENTES|1|JESUS MARIA|380|2|C|0|2|2|448|180|181|82|21|18|33|4|4|2|2|0|1|0|14|181|610| |1| |5def0f35d8ef0d17b0b916b359d1bc9926fc015c508c2621c59dc6b6cf8db758|2015-12-06 21:37:00.000|2015-12-06 21:41:05.089|2015-12-06 21:41:08.356|
1|AGUASCALIENTES|1|JESUS MARIA|381|1|B|0|2|2|318|184|189|91|36|8|36|5|4|4|0|1|0|Sin dato|4|189|487| |1| |81abb337c6fe76d0f138f8add968902cd515ef5f0717b0bf8c399addf6dac80a|2015-12-06 22:15:00.000|2015-12-06 22:23:15.976|2015-12-06 22:23:20.225|
1|AGUASCALIENTES|1|JESUS MARIA|381|1|C|0|2|2|321|186|186|85|41|4|38|3|1|1|0|0|0|0|13|186|487| |1| |4135420ac7882816c2923ec8c7e30c7062422405d5c99426ee319afa9bb00ce7|2015-12-06 21:54:00.000|2015-12-06 22:00:59.077|2015-12-06 22:01:02.170|
1|AGUASCALIENTES|1|JESUS MARIA|382|1|B|0|2|2|363|205|207|96|48|12|14|14|2|0|2|6|0|2|10|206|550| |1| |a3d827819c022a1fb52bb36bf9a3fc8fba99d614f4983071bd585d5703d09105|2015-12-06 21:54:00.000|2015-12-06 22:00:25.363|2015-12-06 22:00:27.604|
1|AGUASCALIENTES|1|JESUS MARIA|382|1|C|0|2|2|365|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|0|549| |1| |016d982ede587e8b1210a2debfd348f3386893bcda84440304c6d9e220d33431|2015-12-06 21:52:00.000|2015-12-06 21:59:17.420|2015-12-06 21:59:20.383|
1|AGUASCALIENTES|1|JESUS MARIA|382|2|C|0|2|2|364|205|205|123|37|13|16|6|1|2|0|3|0|0|4|205|549| |1| |76f0687a3e422fd466921d9df7c77c0aedca6efe09a18e10fa7ebdd8fe184631|2015-12-06 21:50:00.000|2015-12-06 21:53:51.240|2015-12-06 21:53:52.808|
1|AGUASCALIENTES|1|JESUS MARIA|383|1|B|0|2|2|402|196|196|78|36|6|43|16|2|1|1|2|1|0|10|196|578| |1| |f49d5756c5585b4c5e1496dd24419894940d5bc86375436db98ab02075d3d289|2015-12-06 21:51:00.000|2015-12-06 21:56:51.559|2015-12-06 21:56:54.709|
1|AGUASCALIENTES|1|JESUS MARIA|383|1|C|0|2|2|410|185|188|78|38|3|46|9|3|1|2|1|0|0|7|188|578| |1| |400328aef2488344a4394d980da493059918c8e2a4a6272fb0f4e39765d92b50|2015-12-06 22:15:00.000|2015-12-06 22:24:36.005|2015-12-06 22:24:39.544|
1|AGUASCALIENTES|1|JESUS MARIA|383|2|C|0|2|2|381|215|216|96|48|8|32|10|4|0|1|3|2|0|12|216|577| |1| |ce807ee50f6f9af06e6481cb86722bff3100694d75f70a8e46e12450ac872cd9|2015-12-06 21:50:00.000|2015-12-06 21:55:48.268|2015-12-06 21:55:51.573|
1|AGUASCALIENTES|1|JESUS MARIA|383|3|C|0|2|2|390|205|207|85|32|6|48|14|5|1|1|3|4|0|8|207|577| |1| |592ad9ddacc5568515d4e526945552947a68dc6542df0ccd2ead9eb1648e4fc5|2015-12-06 21:51:00.000|2015-12-06 21:54:42.055|2015-12-06 21:54:43.641|
1|AGUASCALIENTES|1|JESUS MARIA|384|1|B|0|2|2|347|254|256|64|110|8|55|8|0|0|0|0|3|0|8|256|583| |1| |ff1b09954b214303736cfbc5fbdd6b699a44459ce1eb950acad930e1369a97ae|2015-12-06 21:49:00.000|2015-12-06 21:53:05.620|2015-12-06 21:53:08.671|
1|AGUASCALIENTES|1|JESUS MARIA|384|1|C|0|2|2|336|267|267|93|82|8|68|1|1|2|0|1|1|0|10|267|583| |1| |b3317e50103432de2a0ccc31baf012713561b959fda568860327d5b876ce33eb|2015-12-06 21:50:00.000|2015-12-06 21:53:59.984|2015-12-06 21:54:03.603|
1|AGUASCALIENTES|1|JESUS MARIA|385|1|B|0|2|2|471|245|247|123|63|13|19|12|3|2|1|0|3|0|8|247|698| |1| |78096c61ffe3b72cdb66d1ee5bca5bf985944137ecccb68d03ec13bd2fe9f030|2015-12-06 21:51:00.000|2015-12-06 21:55:55.718|2015-12-06 21:55:59.097|
1|AGUASCALIENTES|1|JESUS MARIA|385|1|C|0|2|2|437|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|Ilegible|0|698| |1| |53df218b39442f572078ce9d95faba53e922d3817e8c5591d1a00efdf2b4479e|2015-12-06 21:52:00.000|2015-12-06 22:01:54.223|2015-12-06 22:01:55.616|
1|AGUASCALIENTES|1|JESUS MARIA|386|1|B|0|2|2|467|253|253|99|33|8|97|6|1|1|0|1|0|0|7|253|700| |1| |ea525c36a94065629cd36ef63b3ea07395b4a1e8338bee462b53d855a869392c|2015-12-06 21:52:00.000|2015-12-06 22:00:08.883|2015-12-06 22:00:11.867|
1|AGUASCALIENTES|1|JESUS MARIA|386|1|C|0|2|2|434|286|286|124|50|7|75|9|4|1|1|1|1|0|13|286|700| |1| |d693baac0ec6c33f0526ce5f3004e772226ad1fa4d87786965cb3db7e05251e8|2015-12-06 21:50:00.000|2015-12-06 21:53:00.107|2015-12-06 21:53:02.302|
1|AGUASCALIENTES|1|JESUS MARIA|387|1|B|0|2|2|391|319|321|98|138|16|19|36|1|0|0|4|2|0|7|321|692| |1| |ddfee4cdbd29054de2c464a79775dc36d7e32d521f74c4aa8908d9d12b895459|2015-12-06 22:32:00.000|2015-12-06 23:04:31.355|2015-12-06 23:04:33.033|
1|AGUASCALIENTES|1|JESUS MARIA|387|1|C|0|2|2|402|309|309|97|137|20|20|25|4|0|0|2|0|0|4|309|692| |1| |77240ed109dcc053199e477676ebf2f4b785418c14b898ae08f2950730a89f1d|2015-12-06 22:31:00.000|2015-12-06 22:59:49.861|2015-12-06 22:59:53.251|
1|AGUASCALIENTES|1|JESUS MARIA|387|2|C|0|2|2|390|322|322|109|111|20|27|45|2|2|0|1|1|0|4|322|692| |1| |67e3f5c54970c51439d7ff865f0497eb9e926466ebd040e7ad88498c9a0eb47d|2015-12-06 22:34:00.000|2015-12-06 23:04:44.661|2015-12-06 23:04:47.942|
1|AGUASCALIENTES|1|JESUS MARIA|387|3|C|0|2|2|391|321|321|111|111|14|28|46|1|0|0|2|4|0|4|321|692| |1| |e6a9af31a857ef46826c2e31c51d4e97d6bdb8fc25cfb2cc2682364b8dd76b71|2015-12-06 22:31:00.000|2015-12-06 23:01:00.480|2015-12-06 23:01:03.513|
1|AGUASCALIENTES|1|JESUS MARIA|388|1|B|0|2|2|352|270|272|103|100|13|30|18|1|0|0|0|5|0|2|272|604| |1| |b86aad05f662f792e1bf304494443fcd517d260b336abcfd303de6d757fe3982|2015-12-06 22:33:00.000|2015-12-06 23:05:41.230|2015-12-06 23:05:44.099|
1|AGUASCALIENTES|1|JESUS MARIA|388|1|C|0|2|2|331|291|293|101|106|17|34|23|3|0|1|2|4|0|2|293|604| |1| |d07e50b2135b75d1785c08a3c184933291e36087b963798c45212765fde597e9|2015-12-06 22:34:00.000|2015-12-06 23:06:00.757|2015-12-06 23:06:03.990|
1|AGUASCALIENTES|1|JESUS MARIA|388|2|C|0|2|2|353|269|271|94|82|20|40|23|3|0|1|2|3|0|3|271|604| |1| |edf548b7293822bf1282937d583e0e90aa3d99ebcdf8941f31bd95d6e6667aa5|2015-12-06 22:31:00.000|2015-12-06 22:59:33.504|2015-12-06 22:59:36.513|
1|AGUASCALIENTES|1|JESUS MARIA|389|1|B|0|2|2|328|249|249|57|137|5|31|14|1|1|1|1|1|0|0|249|559| |1| |2729f81a34376d252c90c283d0ef5ffb47172946e1dbcd63386e068441ec00fa|2015-12-06 22:36:00.000|2015-12-06 23:11:15.577|2015-12-06 23:11:18.629|
1|AGUASCALIENTES|1|JESUS MARIA|389|1|C|0|2|2|359|220|220|57|79|5|39|32|1|2|Sin dato|3|Sin dato|Sin dato|2|220|559| |1| |58ee2203bf1162d6d66fc4a0d43d6ae7d3b84b58cc632498756753b90a104e70|2015-12-06 22:33:00.000|2015-12-06 23:06:08.444|2015-12-06 23:06:10.469|
1|AGUASCALIENTES|1|JESUS MARIA|389|2|C|0|2|2|356|223|223|48|89|11|44|23|0|1|1|2|2|0|2|223|559| |1| |b37a53de3d2351fbd5d4d9984c37327332b8cbdc0048f1d2bc6de83e2470c40d|2015-12-06 22:32:00.000|2015-12-06 23:01:27.054|2015-12-06 23:01:29.106|
1|AGUASCALIENTES|1|JESUS MARIA|390|1|B|0|2|2|417|317|320|85|122|17|51|30|2|0|1|5|3|0|4|320|717| |1| |80dde9796745dfbd45bc964d92783abcc3ad7373efd0a1ef7e21d459c0efd98e|2015-12-06 22:32:00.000|2015-12-06 23:02:54.312|2015-12-06 23:02:57.477|
1|AGUASCALIENTES|1|JESUS MARIA|390|1|C|0|2|2|415|317|322|79|131|23|48|24|1|3|0|3|4|0|6|322|717| |1| |c15c817e74abf070933eecca4849c124069ceba20767facffbf9ee346f3a27cd|2015-12-06 22:33:00.000|2015-12-06 23:04:04.611|2015-12-06 23:04:08.847|
1|AGUASCALIENTES|1|JESUS MARIA|390|2|C|0|2|2|401|336|337|75|138|16|34|59|1|1|0|2|5|0|6|337|717| |1| |0206fe6a9ce07daae92ac5e21c4613a010a32daaa6841fb5864c31c33773b7b5|2015-12-06 22:32:00.000|2015-12-06 23:00:31.139|2015-12-06 23:00:32.605|
1|AGUASCALIENTES|1|JESUS MARIA|391|1|B|0|2|2|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|0|739| |1| |daf41ad51cf2fe3bba92fbdaae984f9296305c6f647b001366628534d17fc874|2015-12-06 22:28:00.000|2015-12-06 22:53:21.590|2015-12-06 22:53:24.697|
1|AGUASCALIENTES|1|JESUS MARIA|391|1|C|0|2|2|386|371|373|77|164|13|35|60|2|2|7|5|5|Sin dato|3|373|739| |1| |936db66200892f1716f14d5f9816dbc5af059a40c5a7433fa286f1f10a1cd38b|2015-12-06 22:33:00.000|2015-12-06 23:03:53.334|2015-12-06 23:03:56.322|
1|AGUASCALIENTES|1|JESUS MARIA|391|2|C|0|2|2|359|386|400|132|144|18|44|48|5|1|3|2|0|0|3|400|739| |1| |eb52a438b67dc02c27e0f82adb6140f0d48ba92a2222c2b42eb16081ac5fb69e|2015-12-06 22:30:00.000|2015-12-06 22:42:02.240|2015-12-06 22:42:05.272|
1|AGUASCALIENTES|1|JESUS MARIA|392|1|B|0|2|2|507|257|257|111|78|7|20|16|2|6|3|3|4|2|5|257|745| |1| |c24459471edfb3126e492c03d8dceacc460c736a43dcc17c6597b6fac221f2e7|2015-12-06 20:46:00.000|2015-12-06 20:51:14.274|2015-12-06 20:51:17.405|
1|AGUASCALIENTES|1|JESUS MARIA|392|1|C|0|2|2|493|264|271|131|95|5|15|5|2|2|1|3|3|1|8|271|745| |1| |0c0c392dd598d18cad86144f10753bc6bc99447266f88059a2eb3ae67729086e|2015-12-06 20:40:00.000|2015-12-06 20:45:15.703|2015-12-06 20:45:19.840|
1|AGUASCALIENTES|1|JESUS MARIA|392|2|C|0|2|2|531|229|234|116|70|8|15|8|1|2|2|2|4|1|5|234|745| |1| |87d866088873036b97670598432af5b17266dc4e0be8f69f92ce9014d38efd26|2015-12-06 20:42:00.000|2015-12-06 20:46:16.180|2015-12-06 20:46:19.340|
1|AGUASCALIENTES|1|JESUS MARIA|392|3|C|0|2|2|Sin dato|239|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|Sin dato|0|744| |1| |8342214b001e6f158eef8c843d3f1865d7f286d54a2196808619465c2ef70f8a|2015-12-06 20:48:00.000|2015-12-06 20:51:26.582|2015-12-06 20:51:30.107|
1|AGUASCALIENTES|1|JESUS MARIA|392|4|C|0|2|2|486|270|270|116|100|4|22|7|2|2|4|1|3|0|9|270|744| |1| |c9328fd139579f6f58a9c42e74573df74e6518b41e0030c47ff538a48cfa9df4|2015-12-06 20:40:00.000|2015-12-06 20:46:12.969|2015-12-06 20:46:15.304|
1|AGUASCALIENTES|1|JESUS MARIA|392|5|C|0|2|2|560|202|204|79|67|7|26|10|Ilegible|3|3|1|3|0|5|204|744| |1| |1186171b50059cd2674af239f0c808874eb3ba7f9cf90b0a962df9c6c46552c1|2015-12-06 19:38:00.000|2015-12-06 19:42:11.178|2015-12-06 19:42:12.842|
1|AGUASCALIENTES|1|JESUS MARIA|392|6|C|0|2|2|533|225|231|114|75|4|7|7|1|2|8|3|3|Sin dato|7|231|744| |1| |cc350f2ef98aea397dac631951a843ecbb776fd5459bd023eb7813f41729b37b|2015-12-06 19:58:00.000|2015-12-06 20:02:04.501|2015-12-06 20:02:06.460|
1|AGUASCALIENTES|1|JESUS MARIA|393|1|B|0|1|2|460|185|195|95|66|1|11|11|1|2|1|0|3|0|4|195|635| |1| |5b5ea6eac6d7db418e63a3f501cab8e8a17fedaa84832983f6b35f40d3c0b39d|2015-12-06 19:50:00.000|2015-12-06 19:54:25.551|2015-12-06 19:54:27.427|
