Name	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019
ALANNA	7	9	0	8	8	0	12	5	5	0	10	0	7	0	6	8	5	0	5	11
ALANNAH	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALAYA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8
ALAYNA	0	0	5	0	7	0	5	0	6	7	10	0	6	9	8	11	10	7	11	11
ALBA	0	0	0	0	0	0	0	0	0	0	0	0	0	5	6	0	0	0	0	0
ALBERTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEAH	0	0	0	0	5	0	0	0	6	7	8	9	0	0	11	5	0	0	0	5
ALECIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEENA	0	0	0	12	0	6	5	6	0	0	0	7	7	6	7	9	6	10	7	5
ALEESHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEISHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALENA	0	0	0	0	5	0	0	5	0	0	5	7	0	0	9	0	0	8	6	6
ALESHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALESSANDRA	0	0	0	0	0	5	0	9	0	0	5	5	13	10	7	10	6	10	10	6
ALESSIA	0	0	0	0	0	0	0	0	5	0	5	5	0	0	5	0	0	5	12	9
ALETA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALETHEA	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEX	7	0	0	5	6	7	5	0	0	5	0	0	0	0	0	0	0	0	0	0
ALEXA	34	27	34	41	44	35	46	39	46	54	53	59	50	43	28	42	26	29	22	7
ALEXANDRA	110	107	61	90	73	66	58	55	52	51	51	50	48	56	36	45	38	39	29	37
ALEXANDREA	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALEXANDRIA	26	14	19	15	14	18	9	8	10	15	18	15	17	17	16	10	12	5	15	12
ALEXIA	12	11	12	10	9	5	6	8	14	9	5	9	9	10	7	0	0	7	0	0
ALEXIS	65	71	69	68	88	70	67	69	90	127	100	104	91	53	55	44	42	29	27	28
ALEXUS	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
ALI	0	0	0	0	0	0	0	6	0	0	6	0	7	0	0	0	0	0	0	0
ALIA	5	0	12	0	7	0	0	0	5	8	5	6	5	0	6	8	7	0	0	13
ALIANA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0
ALICE	9	14	14	11	12	15	20	20	26	15	30	39	37	61	58	69	55	78	83	69
ALICIA	33	31	48	34	29	22	22	21	19	23	13	20	21	14	22	16	19	10	11	15
ALIDA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALIESHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALINA	6	7	5	8	9	9	12	16	14	21	19	15	24	14	21	21	23	19	28	19
ALISA	7	0	5	0	0	0	0	0	8	6	0	0	5	5	8	8	0	6	7	0
ALISHA	18	18	16	13	20	21	23	8	21	15	11	11	11	5	12	0	6	7	9	5
ALISON	17	16	27	17	13	10	17	12	6	12	6	9	15	13	5	14	7	9	7	6
ALISSA	10	7	9	9	6	5	6	10	0	6	6	6	0	0	0	0	0	0	0	0
ALITA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALIVIA	0	0	0	5	0	11	14	9	10	15	17	26	11	26	16	14	16	14	23	11
ALIX	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALIYA	12	8	6	6	8	10	10	11	11	12	13	18	12	13	12	13	8	13	13	7
ALIYAH	0	9	16	15	19	13	14	16	13	20	19	27	17	23	23	23	26	13	14	23
ALIZA	0	0	0	0	7	0	0	0	6	5	0	0	0	0	0	5	0	0	8	0
ALLEGRA	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0
ALLIE	0	0	0	5	6	7	5	8	5	8	13	13	11	5	5	9	8	0	7	0
ALLISON	30	30	45	27	22	14	29	31	26	20	16	19	18	18	18	16	22	20	16	17
ALLY	5	7	0	0	5	0	6	0	0	0	0	0	0	0	5	0	0	0	0	0
ALLYSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLYSHA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALLYSON	5	0	5	5	6	5	0	5	0	7	0	0	5	0	0	0	0	0	0	0
ALLYSSA	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALMA	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	7	0	9	7	9
ALORA	0	0	0	0	0	0	0	0	0	0	6	0	0	5	0	6	0	0	6	0
ALTHEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	6	0	0
ALYCIA	0	5	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALYSA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALYSE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0
ALYSHA	12	16	20	14	14	7	10	6	0	5	0	0	6	0	8	0	0	0	0	0
ALYSHIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALYSIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALYSON	0	7	0	6	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALYSSA	102	91	108	87	93	85	68	72	77	66	63	51	41	45	46	43	37	30	31	22
ALYSSIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALYVIA	0	0	0	0	0	0	0	6	0	8	0	11	0	0	0	0	0	0	0	0
AMAANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
AMAIA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
AMAIRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9
